symbol,tf,config,split,n,total_R,avg_R,win_pct,t_stat,profit_factor,maxDD_R,n_long,n_short
EURUSD,H1,setA_60_125_250,IS,103,-19.6,-0.1903,43.7,-1.71,0.66,25.8,58,45
EURUSD,H1,setA_60_125_250,OOS,41,3.47,0.0846,53.7,0.43,1.19,6.0,28,13
EURUSD,H1,setB_50_110_250,IS,123,-17.53,-0.1425,46.3,-1.38,0.73,31.7,71,52
EURUSD,H1,setB_50_110_250,OOS,54,0.33,0.0062,48.1,0.04,1.01,5.0,32,22
EURUSD,H1,setC_40_120_350,IS,126,-22.55,-0.179,45.2,-1.79,0.67,29.8,70,56
EURUSD,H1,setC_40_120_350,OOS,55,4.29,0.078,49.1,0.44,1.15,6.0,34,21
EURUSD,H1,A_macd_off,IS,242,-30.37,-0.1255,45.5,-1.67,0.77,35.6,120,122
EURUSD,H1,A_macd_off,OOS,111,-4.53,-0.0408,45.9,-0.35,0.92,18.9,64,47
EURUSD,H1,A_be_off,IS,95,-17.0,-0.1789,27.4,-1.3,0.75,22.0,54,41
EURUSD,H1,A_be_off,OOS,38,7.0,0.1842,39.5,0.76,1.3,6.0,26,12
EURUSD,H1,A_stack_off,IS,124,-20.52,-0.1655,44.4,-1.61,0.7,26.7,67,57
EURUSD,H1,A_stack_off,OOS,50,4.52,0.0904,56.0,0.52,1.21,5.0,33,17
EURUSD,H1,A_tp3,IS,94,-7.61,-0.0809,43.6,-0.55,0.86,19.8,50,44
EURUSD,H1,A_tp3,OOS,41,2.5,0.061,53.7,0.27,1.13,6.0,28,13
EURUSD,H1,A_be_optimistic,IS,105,-25.5,-0.2429,44.8,-2.36,0.56,31.7,58,47
EURUSD,H1,A_be_optimistic,OOS,41,2.23,0.0545,56.1,0.29,1.12,6.0,28,13
EURUSD,H1,setA_x0spread,IS,103,-17.64,-0.1713,43.7,-1.51,0.7,25.8,58,45
EURUSD,H1,setA_x0spread,OOS,41,7.44,0.1814,53.7,0.88,1.4,4.0,28,13
EURUSD,H1,setA_x2spread,IS,102,-25.7,-0.252,39.2,-2.26,0.59,30.8,56,46
